Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous
(2024 ON),2024-Sep-17 10:19 ± < 00:01,1000053,1000051,8.88,8.83,20.5,210 m -  480 m,3,345.0,True
792156 (2020 XR),2024-Dec-04 05:27 ± < 00:01,2209274,2209273,12.31,12.29,19.7,310 m -  690 m,2,500.0,True
(2025 EZ3),2025-Mar-04 04:31 ±    00:01,2761146,2741751,14.26,14.25,21.9,110 m -  250 m,1,180.0,True
(1997 QK1),2025-Aug-20 10:25 ± < 00:01,3011714,3011704,9.83,9.82,20.3,240 m -  530 m,2,385.0,True
(1998 SH2),2025-Aug-30 13:23 ± < 00:01,3108478,3108443,17.3,17.29,20.8,0.383±0.057 km,2,,True
(2013 FW13),2024-Sep-18 06:29 ± < 00:01,3249430,3249430,15.56,15.55,21.7,120 m -  280 m,1,200.0,True
(2020 WG),2024-Oct-28 06:34 ± < 00:01,3325778,3325778,9.43,9.42,21.6,120 m -  280 m,1,200.0,True
(2025 CH4),2025-Feb-11 02:05 ± < 00:01,3424072,3419242,31.68,31.68,21.2,150 m -  340 m,1,245.0,True
424482 (2008 DG5),2025-Jun-05 23:59 ± < 00:01,3492787,3492781,6.21,6.19,19.6,320 m -  720 m,2,520.0,True
363027 (1998 ST27),2024-Oct-12 01:52 ± < 00:01,3561108,3561108,16.63,16.62,19.6,0.578±0.228 km,2,,True
535844 (2015 BY310),2025-Mar-05 10:58 ± < 00:01,3672622,3672620,7.86,7.85,21.9,110 m -  250 m,1,180.0,True
(2020 BC6),2025-Jan-05 21:44 ± < 00:01,3683382,3683374,22.18,22.18,20.9,180 m -  400 m,1,290.0,True
(2025 BC10),2025-Apr-05 10:12 ± < 00:01,3705983,3705983,22.92,22.92,19.4,350 m -  790 m,2,570.0,True
(2025 FP10),2025-Apr-12 03:55 ± < 00:01,4150006,4149986,13.96,13.95,18.9,440 m -  990 m,2,715.0,True
612356 (2002 JX8),2025-May-09 11:02 ± < 00:01,4206653,4206648,5.14,5.12,20.0,270 m -  590 m,2,430.0,True
(2025 AK2),2024-Dec-30 13:57 ± < 00:01,4355134,4353112,13.72,13.72,21.7,120 m -  270 m,1,195.0,True
363305 (2002 NV16),2024-Oct-24 15:47 ± < 00:01,4519174,4519161,4.87,4.85,21.4,140 m -  310 m,1,225.0,True
(2024 QS1),2024-Sep-12 06:03 ± < 00:01,4623577,4622779,14.27,14.27,22.0,100 m -  230 m,1,165.0,True
462959 (2011 DU),2025-Apr-25 15:45 ± < 00:01,4930683,4930683,9.48,9.48,21.1,160 m -  360 m,1,260.0,True
(2014 TN17),2025-Mar-26 11:34 ± < 00:01,5092311,5092311,21.47,21.46,21.5,130 m -  300 m,1,215.0,True
793349 (2003 AY2),2025-Jun-22 04:09 ± < 00:01,5429821,5429799,15.95,15.94,19.8,290 m -  650 m,1,470.0,True
447755 (2007 JX2),2024-Dec-03 23:16 ± < 00:01,5532122,5532122,12.22,12.22,19.7,310 m -  690 m,1,500.0,True
812769 (2005 VO5),2025-Jul-11 04:46 ± < 00:01,6085390,6085349,14.38,14.37,19.9,280 m -  630 m,1,455.0,True
(2023 WK3),2024-Nov-18 13:41 ± < 00:01,6163139,6162979,14.48,14.47,20.4,220 m -  480 m,1,350.0,True
(2024 WY70),2025-Jan-18 22:42 ± < 00:01,6306312,6306311,10.17,10.16,20.9,170 m -  390 m,1,280.0,True
(2024 UD26),2025-Feb-16 10:04 ± < 00:01,6420247,6420105,9.32,9.31,20.5,210 m -  460 m,1,335.0,True
387746 (2003 MH4),2025-May-24 10:37 ± < 00:01,6676622,6676605,8.35,8.34,20.1,0.366±0.008 km,1,,True
