Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous,asteroid_lat,asteroid_lon,closest_delta_km,closest_deldot_kms,closest_date_time,delta_diff_percent
(2024 ON),2024-Sep-17 10:19 ± < 00:01,1000053,1000051,8.88,8.83,20.5,210 m -  480 m,3,345.0,True,-67.27652242687229,329.7713589390489,1000104.0540902276,0.0063652,2024-Sep-17 10:19,0.005305138460696753
792156 (2020 XR),2024-Dec-04 05:27 ± < 00:01,2209274,2209273,12.31,12.29,19.7,310 m -  690 m,2,500.0,True,-32.04254218739937,4.885155380480127,2209463.042738824,0.0036287,2024-Dec-04 05:27,0.008602048675023479
(2025 EZ3),2025-Mar-04 04:31 ±    00:01,2761146,2741751,14.26,14.25,21.9,110 m -  250 m,1,180.0,True,-45.736307520184496,345.1011984796208,2761082.9545395514,0.0043604,2025-Mar-04 04:31,0.7050951942591213
(1997 QK1),2025-Aug-20 10:25 ± < 00:01,3011714,3011704,9.83,9.82,20.3,240 m -  530 m,2,385.0,True,69.14383011354855,190.44110215675022,3011690.6283911434,0.0004743,2025-Aug-20 10:25,0.0004439881494529269
(1998 SH2),2025-Aug-30 13:23 ± < 00:01,3108478,3108443,17.3,17.29,20.8,0.383±0.057 km,2,,True,-62.89495992633062,82.21467498048528,3108454.33100865,0.0032499,2025-Aug-30 13:23,0.00036452361037010586
(2013 FW13),2024-Sep-18 06:29 ± < 00:01,3249430,3249430,15.56,15.55,21.7,120 m -  280 m,1,200.0,True,6.287348236911305,245.161927847713,3249689.984198793,0.0030996,2024-Sep-18 06:29,0.008000917046769359
(2020 WG),2024-Oct-28 06:34 ± < 00:01,3325778,3325778,9.43,9.42,21.6,120 m -  280 m,1,200.0,True,8.2253241676385,355.7328322553938,3325973.4174749167,0.000192,2024-Oct-28 06:34,0.0058758424319563865
(2025 CH4),2025-Feb-11 02:05 ± < 00:01,3424072,3419242,31.68,31.68,21.2,150 m -  340 m,1,245.0,True,-30.388964011536817,41.69541606403069,3424297.2667909767,0.0131412,2025-Feb-11 02:05,0.1478475870083705
424482 (2008 DG5),2025-Jun-05 23:59 ± < 00:01,3492787,3492781,6.21,6.19,19.6,320 m -  720 m,2,520.0,True,44.612231638081276,210.6269672612777,3492984.4569317773,0.0007226,2025-Jun-05 23:59,0.005825069816209446
363027 (1998 ST27),2024-Oct-12 01:52 ± < 00:01,3561108,3561108,16.63,16.62,19.6,0.578±0.228 km,2,,True,-17.22987555362283,332.0109725248152,3561385.9004969015,0.0031776,2024-Oct-12 01:52,0.007803764920959393
535844 (2015 BY310),2025-Mar-05 10:58 ± < 00:01,3672622,3672620,7.86,7.85,21.9,110 m -  250 m,1,180.0,True,-48.413144523911924,104.87093041612144,3672707.9109844347,0.0008391,2025-Mar-05 10:58,0.0023936858274107606
(2020 BC6),2025-Jan-05 21:44 ± < 00:01,3683382,3683374,22.18,22.18,20.9,180 m -  400 m,1,290.0,True,-75.04341156723704,75.86653137177264,3683389.402275369,0.0110715,2025-Jan-05 21:44,0.0004181567054835307
(2025 BC10),2025-Apr-05 10:12 ± < 00:01,3705983,3705983,22.92,22.92,19.4,350 m -  790 m,2,570.0,True,33.84074127919578,108.66376784243695,3706343.8045792663,0.0100442,2025-Apr-05 10:12,0.009735732173254626
(2025 FP10),2025-Apr-12 03:55 ± < 00:01,4150006,4149986,13.96,13.95,18.9,440 m -  990 m,2,715.0,True,-0.8462534430380726,20.142856614351,4149985.5865063486,0.0039787,2025-Apr-12 03:55,9.963736056725345e-06
612356 (2002 JX8),2025-May-09 11:02 ± < 00:01,4206653,4206648,5.14,5.12,20.0,270 m -  590 m,2,430.0,True,81.69776286670798,201.27303941864145,4206790.5256289225,0.0007182,2025-May-09 11:02,0.0033881044699368037
(2025 AK2),2024-Dec-30 13:57 ± < 00:01,4355134,4353112,13.72,13.72,21.7,120 m -  270 m,1,195.0,True,-68.40064110933247,279.5858523169279,4355112.24874883,0.0029926,2024-Dec-30 13:57,0.04594985722466107
363305 (2002 NV16),2024-Oct-24 15:47 ± < 00:01,4519174,4519161,4.87,4.85,21.4,140 m -  310 m,1,225.0,True,-85.05664422159799,162.69605745171708,4519296.350798136,-0.0001188,2024-Oct-24 15:47,0.0029950426226377715
(2024 QS1),2024-Sep-12 06:03 ± < 00:01,4623577,4622779,14.27,14.27,22.0,100 m -  230 m,1,165.0,True,7.536730985091352,93.51816055492277,4623149.288736121,0.0036429,2024-Sep-12 06:03,0.008010089518032285
462959 (2011 DU),2025-Apr-25 15:45 ± < 00:01,4930683,4930683,9.48,9.48,21.1,160 m -  360 m,1,260.0,True,71.36908188425865,231.28491810135208,4930797.510987448,0.001198,2025-Apr-25 15:45,0.002322416335578149
(2014 TN17),2025-Mar-26 11:34 ± < 00:01,5092311,5092311,21.47,21.46,21.5,130 m -  300 m,1,215.0,True,-9.343418027253598,80.75038424118289,5092725.427735533,0.0072434,2025-Mar-26 11:34,0.008138303719718493
793349 (2003 AY2),2025-Jun-22 04:09 ± < 00:01,5429821,5429799,15.95,15.94,19.8,290 m -  650 m,1,470.0,True,-37.32736972544851,185.9199710399226,5430242.403982879,0.002419,2025-Jun-22 04:09,0.008166121487713682
447755 (2007 JX2),2024-Dec-03 23:16 ± < 00:01,5532122,5532122,12.22,12.22,19.7,310 m -  690 m,1,500.0,True,48.62368099104954,312.30705179748094,5532383.703399184,0.0006137,2024-Dec-03 23:16,0.004730615109069539
812769 (2005 VO5),2025-Jul-11 04:46 ± < 00:01,6085390,6085349,14.38,14.37,19.9,280 m -  630 m,1,455.0,True,-80.38974095944307,265.3807785918919,6085502.652581984,0.0016431,2025-Jul-11 04:46,0.002524959242011875
(2023 WK3),2024-Nov-18 13:41 ± < 00:01,6163139,6162979,14.48,14.47,20.4,220 m -  480 m,1,350.0,True,-27.6769698528407,254.38600807978378,6163340.678901765,0.0027914,2024-Nov-18 13:41,0.005868572678319433
(2024 WY70),2025-Jan-18 22:42 ± < 00:01,6306312,6306311,10.17,10.16,20.9,170 m -  390 m,1,280.0,True,-12.69264747035735,8.87699195781393,6306866.207271934,0.000479,2025-Jan-18 22:42,0.008803994473687638
(2024 UD26),2025-Feb-16 10:04 ± < 00:01,6420247,6420105,9.32,9.31,20.5,210 m -  460 m,1,335.0,True,-2.9300970946109186,310.4952657055494,6420086.903356326,-0.0001021,2025-Feb-16 10:04,0.0002818745748580025
387746 (2003 MH4),2025-May-24 10:37 ± < 00:01,6676622,6676605,8.35,8.34,20.1,0.366±0.008 km,1,,True,-9.986783233313416,35.99210586047274,6676298.064472706,-0.0001291,2025-May-24 10:37,0.004597179663825296
390725 (2003 HB),2025-May-25 14:28 ± < 00:01,7028371,7028337,13.47,13.46,19.7,0.293±0.052 km,1,,True,74.08357473177993,68.0867909967319,7028496.32416134,0.0010968,2025-May-25 14:28,0.0022668827823644658
(2025 MM89),2025-Jun-21 20:32 ± < 00:01,7058757,7055117,26.23,26.23,21.3,150 m -  330 m,1,240.0,True,25.864504455174135,125.5360536874058,7059117.480686941,0.0078993,2025-Jun-21 20:32,0.056703250802802904
(2025 LO),2025-May-27 06:11 ± < 00:01,7132264,7113387,22.5,22.5,21.7,120 m -  280 m,1,200.0,True,25.958510737309833,23.426536694603243,7131886.371864908,0.0045308,2025-May-27 06:11,0.26006418412084675
(2000 LF3),2025-Jun-17 23:37 ± < 00:01,7249057,7249003,14.49,14.48,21.6,130 m -  280 m,1,205.0,True,-1.1998309151676925,150.39564656175494,7249691.738544424,-0.0002136,2025-Jun-17 23:37,0.00950114856379649
(2024 RV50),2024-Oct-18 17:02 ± < 00:01,7417329,7416425,15.57,15.57,21.0,170 m -  380 m,1,275.0,True,-47.195473475622315,276.56016589648743,7417958.394232547,0.0014864,2024-Oct-18 17:02,0.02067565211738689
(2003 GQ22),2025-Apr-07 20:01 ± < 00:01,7500278,7500259,8.9,8.89,21.3,140 m -  320 m,1,230.0,True,-8.666104560776018,138.0372547942678,7500827.14985167,0.0008192,2025-Apr-07 20:01,0.0075750697631849434
(2025 BT1),2025-Feb-24 10:47 ± < 00:01,7829953,7824597,14.14,14.13,21.6,130 m -  290 m,1,210.0,True,-26.83375821939351,270.5907165620101,7829244.955297969,0.0013241,2025-Feb-24 10:47,0.059401849040522876
137126 (1999 CF9),2025-Mar-08 01:37 ± < 00:01,7902731,7902730,18.61,18.6,18.1,650 m -  1.5 km,2,,True,2.5635196481863955,253.05446734571757,7902015.949804047,0.0009948,2025-Mar-08 01:37,0.009035487685304665
(2024 WB),2024-Nov-23 10:11 ± < 00:01,7922503,7920871,11.26,11.25,21.1,160 m -  350 m,1,255.0,True,48.53531183248088,7.271746136570788,7922824.06537137,-0.0002283,2024-Nov-23 10:11,0.024657204635322845
(2012 OQ),2025-Jul-22 19:11 ± < 00:01,8058032,8058009,13.53,13.53,21.9,110 m -  250 m,0,180.0,True,30.08992565511855,17.60627298768845,8057296.376590938,0.0010372,2025-Jul-22 19:11,0.008843666085030342
458122 (2010 EW45),2024-Dec-19 14:48 ± < 00:01,8183513,8183510,19.94,19.94,17.6,820 m -  1.8 km,2,,True,-19.130183842893942,7.846395881401694,8184285.5423514005,0.0018259,2024-Dec-19 14:48,0.009476891351027611
(2025 MR1),2025-Aug-21 13:28 ± < 00:01,8272859,8272109,8.25,8.25,20.4,220 m -  490 m,1,355.0,True,-27.16917632910457,39.703709725436106,8272335.85780907,-0.0004235,2025-Aug-21 13:28,0.00274244221237373
450649 (2006 UY64),2024-Oct-22 15:11 ± < 00:01,8478130,8478129,13.47,13.47,19.4,350 m -  780 m,1,565.0,True,11.914101607412537,44.79036032624214,8477904.112185217,0.0013334,2024-Oct-22 15:11,0.002652564201164666
436030 (2009 JO2),2025-Apr-20 19:41 ± < 00:01,8490509,8490477,16.3,16.3,19.4,0.295±0.037 km,1,,True,53.84907978779893,337.5427806141974,8490365.714190897,0.001457,2025-Apr-20 19:41,0.0013107132744532434
(2025 ND1),2025-Jul-14 16:33 ± < 00:01,8597983,8563928,13.91,13.91,21.9,110 m -  250 m,0,180.0,True,-24.9368188119892,316.7019401311789,8597704.673092296,0.0005863,2025-Jul-14 16:33,0.3944063178987066
(2025 NH3),2025-Aug-19 23:28 ± < 00:01,8578531,8578158,22.58,22.58,19.9,270 m -  610 m,1,440.0,True,25.90758538629568,254.0041897613607,8579083.889384452,0.0013054,2025-Aug-19 23:28,0.01079356878775436
434633 (2005 WB1),2025-May-25 14:21 ± < 00:01,8709360,8709333,16.28,16.28,20.7,0.310±0.109 km,1,,True,-59.283453811629904,308.025721238356,8708849.23678195,0.0006405,2025-May-25 14:21,0.00555453808059495
(2024 SD4),2024-Sep-21 17:26 ± < 00:01,8769257,8759101,17.61,17.6,22.0,100 m -  230 m,0,165.0,True,-50.108670665857986,257.1573599248369,8770020.013808375,0.0009769,2024-Sep-21 17:26,0.12465906955948132
(2022 CN1),2025-Jan-29 04:35 ± < 00:01,8870168,8870146,15.15,15.14,21.5,140 m -  300 m,1,220.0,True,18.912701916832177,86.02875871037878,8870771.347874532,0.0014558,2025-Jan-29 04:35,0.007050029103596744
(2016 JW5),2025-Jan-19 02:47 ± < 00:01,9206432,9206403,14.24,14.23,22.0,110 m -  240 m,0,175.0,True,-41.28479164444857,170.82512791006548,9205760.697776236,0.0005172,2025-Jan-19 02:47,0.006976690285710499
613291 (2005 YX128),2025-Jul-28 20:50 ± < 00:01,9319391,9319377,21.72,21.72,19.0,420 m -  930 m,1,675.0,True,77.83511024664725,282.9731974488935,9319248.304204881,0.0026847,2025-Jul-28 20:50,0.0013809484809854645
